"Code","Last","Change","Change(%)","GridFluctRatio","Freq","Volume","Value","Frg Buy","Frg Sell","Net Buy"
"BAJA","140","Fall","1","0.70","746","70,750","963,024","11,226","0","11,226"
"SRTG","1,985","Rise","15","0.76","2,984","150,266","29,919,815","32,511","22,862","9,649"
"BFIN","1,300","Rise","10","0.77","1,169","39,031","5,078,169","13,604","5,119","8,485"
"MARK","650","Rise","15","2.36","5,064","176,726","11,459,788","13,306","5,258","8,048"
"CRAB","232","Rise","6","2.65","2,474","321,496","7,545,170","9,372","1,569","7,803"
"SSMS","1,655","Rise","20","1.22","897","79,386","12,944,343","25,519","17,918","7,601"
"CPIN","5,075","Rise","75","1.50","1,866","26,597","13,456,300","17,139","10,562","6,577"
"BPTR","159","Rise","1","0.63","8,514","568,649","9,062,089","14,179","7,609","6,570"
"WEGE","138","Rise","2","1.47","840","57,116","790,600","6,557","0","6,557"
"WSKT","230","Fall","2","0.86","1,482","157,918","3,595,538","8,732","2,177","6,555"
"NISP","770","Rise","10","1.31","425","20,000","1,531,938","11,475","5,048","6,427"
"TRON","280","Rise","4","1.44","6,301","1,250,382","34,372,297","55,156","49,146","6,010"
"ASRI","155","Rise","2","1.30","420","41,741","647,223","6,009","0","6,009"
"ANJT","700","Rise","5","0.71","337","15,095","1,057,722","5,909","627","5,282"
"ABMM","2,950","Rise","190","6.88","1,051","21,637","6,281,217","5,510","292","5,218"
"BDMN","2,860","Fall","10","0.34","484","13,897","3,987,297","7,696","2,858","4,838"
"WIIM","850","Rise","10","1.19","1,025","44,516","3,729,063","7,347","2,584","4,763"
"MIDI","366","Rise","6","1.66","967","152,420","5,569,952","4,755","88","4,667"
"TAPG","640","Rise","10","1.58","871","52,095","3,305,293","7,549","2,937","4,612"
"TCPI","8,725","Rise","50","0.57","3,648","133,116","115,553,542","6,742","2,310","4,432"
"FUTR","129","Rise","1","0.78","6,027","840,371","10,808,379","11,007","6,586","4,421"
"SILO","1,390","Fall","5","0.35","479","16,428","2,290,501","8,477","4,148","4,329"
"INKP","7,600","Rise","200","2.70","1,709","28,647","21,609,415","10,100","5,879","4,221"
"PMMP","338","Rise","6","1.80","314","42,635","1,427,986","6,971","2,780","4,191"
"KIOS","72","Rise","6","9.09","1,717","219,626","1,537,131","4,163","0","4,163"
"GGRM","25,600","Rise","975","3.95","3,049","16,105","40,645,990","8,109","4,214","3,895"
"MLPL","92","Fall","3","3.15","3,645","488,057","4,549,494","23,226","19,443","3,783"
"NETV","152","Rise","1","0.66","276","24,112","366,450","3,585","0","3,585"
"DMAS","170","Unchnaged","0","0.00","1,199","122,716","2,093,956","26,074","22,494","3,580"
"BHAT","775","Rise","10","1.30","1,338","1,597,765","123,339,972","5,552","1,987","3,565"
"SMBR","358","Rise","6","1.70","305","14,866","528,724","3,549","0","3,549"
"FPNI","206","Rise","6","3.00","227","15,929","325,407","3,331","10","3,321"
"XKMS","1,238","Rise","4","0.32","16","3,300","408,184","3,300","0","3,300"
"SMGR","6,375","Rise","125","2.00","3,060","57,084","36,500,575","25,507","22,346","3,161"
"APLN","137","Fall","1","0.72","881","39,396","540,629","3,009","0","3,009"
"BNBR","53","Fall","1","1.85","2,822","612,218","3,269,786","42,361","39,392","2,969"
"PALM","615","Fall","5","0.80","174","9,846","594,685","2,840","0","2,840"
"SDPC","214","Lower limit","14","6.14","990","59,270","1,304,703","2,760","0","2,760"
"CLEO","474","Rise","2","0.42","376","14,113","669,047","4,539","1,822","2,717"
"IRRA","895","Unchnaged","0","0.00","482","29,532","2,660,223","3,110","400","2,710"
"ENAK","1,135","Rise","10","0.88","111","3,789","423,755","2,631","48","2,583"
"ETWA","358","Rise","12","3.46","84","3,254","113,802","2,320","0","2,320"
"TOBA","505","Rise","13","2.64","455","25,077","1,257,787","3,834","1,553","2,281"
"SMSM","1,545","Rise","25","1.64","345","12,446","1,909,678","2,762","548","2,214"
"HAIS","185","Unchnaged","0","0.00","134","28,071","519,381","1,997","0","1,997"
"MAPA","4,740","Rise","150","3.26","2,122","25,800","12,164,024","17,940","16,013","1,927"
"WOMF","294","Unchnaged","0","0.00","170","6,344","184,414","2,329","485","1,844"
"IMPC","3,360","Rise","40","1.20","358","33,916","11,244,026","3,546","1,714","1,832"
"ESTA","87","Rise","1","1.16","909","69,012","614,334","4,195","2,366","1,829"
"MYOR","2,670","Rise","90","3.48","1,248","12,620","3,336,019","6,159","4,444","1,715"
"AGII","2,060","Rise","10","0.48","412","11,478","2,354,562","2,638","988","1,650"
"SNLK","1,165","Fall","5","0.42","304","32,179","3,753,523","3,363","1,836","1,527"
"BBHI","1,535","Rise","25","1.65","226","7,192","1,083,071","1,499","2","1,497"
"RAFI","70","Fall","1","1.40","8,905","488,648","3,479,562","2,426","936","1,490"
"BVIC","90","Rise","1","1.12","157","24,162","214,068","1,474","0","1,474"
"BBYB","620","Rise","5","0.81","1,635","108,760","6,824,066","20,812","19,362","1,450"
"PANI","1,230","Rise","10","0.81","426","21,712","2,622,426","2,542","1,119","1,423"
"KRAS","288","Fall","4","1.36","365","37,056","1,072,033","1,622","212","1,410"
"PNBS","58","Rise","1","1.75","391","59,494","344,019","1,337","0","1,337"
"BEER","340","Unchnaged","0","0.00","147","7,761","264,251","1,331","0","1,331"
"ADCP","61","Rise","1","1.66","363","32,116","195,175","1,261","0","1,261"
"SSIA","362","Rise","4","1.11","2,242","210,928","7,528,781","28,289","27,109","1,180"
"PAMG","57","Rise","1","1.78","52","19,112","109,055","1,137","0","1,137"
"CSAP","755","Rise","15","2.02","11","9,494","703,653","9,492","8,400","1,092"
